module,evidence_type,evidence_path,dashboard_page,sha256,size_bytes,row_count,readiness_status,production_evidence,synthetic_fixture
8A,research_design,Docs/Reviewer_Alignment/research_question_objective_map.csv,Research Design,8746a62d187bc48128aedf6ba32d6233047f6a779e9ff4ae64c104c191cf8179,2941,4.0,READY,True,False
8A,hypotheses,Docs/Reviewer_Alignment/hypothesis_map.csv,Research Design,97986f2c65a7fc39337d6ee436a72ac0390cfaf1e5f526410be4d762ae8728a2,2772,4.0,READY,True,False
8A,reviewer_alignment,Docs/Reviewer_Alignment/reviewer_alignment_matrix.csv,Reviewer Evidence Matrix,dd752b2cab75104f79550bf4996eabe86c73ffbeee4598a95dd8bcbfa8dbf46f,3195,12.0,READY,True,False
8A,scope,Docs/Reviewer_Alignment/scope_and_data_classification.md,Research Design,6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f,6360,,READY,True,False
8B,reward_decision,Results/Reward_Validation/reward_confirmation_decision.json,Reward Lab,2262c87ebb8a9bb3bff4c094c6a4934e295ccb804b14364427dcf89bdbe649ef,2140,1.0,READY,True,False
8B,reward_confirmation,Results/Reward_Validation/reward_confirmation_summary.csv,Reward Lab,9f50cd52ae2bb529216c71c3d53e50ca19bef4de98082965bbeced98dee81e37,1773,3.0,READY,True,False
8B,reward_pareto,Results/Reward_Validation/reward_pareto.csv,Reward Lab,4478b9f740438232d476565518c93780d5da36455c9b82c5ba4782f09e2401ef,5612,13.0,READY,True,False
8C,simple_cases,Results/Simple_Case_Validation/simple_case_results.csv,Simple-Case & Raw-Data Validation,e92e0f718c7944550b59eccf4becd06546b88c5bada45d9a9001523aefda0633,1081,6.0,READY,True,False
8C,raw_episodes,Results/Simple_Case_Validation/raw_episode_summary.csv,Simple-Case & Raw-Data Validation,601b0401f3647001f0d640f0b83b860f634177c5219e7c70820cdcb37b30ab28,2998,9.0,READY,True,False
8D,ddpg_validation,Results/DDPG/ddpg_validation_results.csv,Fair DRL Benchmark,0890c2d9e6af8a52af86523dabebce65813634fe4208d97e450682dae1b2f67b,1541,3.0,READY,True,False
8E,td3_validation,Results/TD3/td3_validation_results.csv,Fair DRL Benchmark,94e0ff1ffaf467722e10912567bd4d36dc5afadddf41a42dd67a150f0943e309,1582,3.0,READY,True,False
8F,fairness_audit,Results/Fair_DRL/fairness_audit.json,Fair DRL Benchmark,63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed,2182,1.0,READY,True,False
8F,fair_drl_results,Results/Fair_DRL/fair_drl_results_2025.csv,Fair DRL Benchmark,56c57915708467fcf4c4c96637a4c75966dd3c90708f75782c1c701f70c9fc73,5341,9.0,READY,True,False
8G,pomdp_manifest,Results/POMDP_Ablation/pomdp_ablation_manifest.json,POMDP Contribution,0f4f9484c8bee583bdd31880b2acbb11d33e3cb5b22ad7222a1003f08d0b3424,1351,1.0,READY,True,False
