reviewer_item_id,alignment_topic,locked_response,mapped_research_questions,target_modules,evidence_or_artifact,alignment_status
RA-01,RM dan tujuan one-to-one,"Empat rumusan masalah dipetakan tepat satu-ke-satu ke T1-T4.",RM1|RM2|RM3|RM4,8A,research_question_objective_map.csv,ALIGNED
RA-02,Tujuan terukur,"Setiap tujuan menyebut indikator, protokol, jumlah seed atau gate numerik, dan decision rule.",RM1|RM2|RM3|RM4,8A,research_question_objective_map.csv,ALIGNED
RA-03,Argumentasi POMDP,"State tanah lengkap tidak diamati langsung; controller menerima observasi terbatas dan context history/forecast untuk membentuk belief-relevant representation.",RM3|RM4,8A|8G,scope_and_data_classification.md|context_intervention_results.csv,ALIGNED
RA-04,Argumentasi SAC,"SAC dipilih sebagai stochastic off-policy anchor untuk aksi irigasi kontinu; entropy regularization dan twin critics merupakan mekanisme intrinsik yang dipertahankan.",RM2|RM3|RM4,8A|8F,scope_and_data_classification.md|fairness_audit.json,ALIGNED
RA-05,Justifikasi DDPG dan TD3,"DDPG menjadi deterministic single-critic baseline; TD3 menguji perbaikan twin critics, target smoothing, dan delayed update sebelum context POMDP ditambahkan.",RM2|RM4,8D|8E|8F,ddpg_validation_results.csv|td3_validation_results.csv|fairness_audit.json,ALIGNED
RA-06,Justifikasi forecast dan LSTM,"Forecast h+1 merepresentasikan anticipatory context terkontrol; LSTM 24 jam merepresentasikan history. Kontribusi keduanya dipisahkan lewat desain 2x2 dan intervensi.",RM3|RM4,8G|8H,context_intervention_results.csv|factorial_inference.csv,ALIGNED
RA-07,Virtual Garden dan scope,"Virtual Garden adalah simulator hortikultura generik berbasis neraca air dan bukan digital twin tanaman atau lokasi tertentu.",RM1,8A|8C,scope_and_data_classification.md|simple_case_results.csv,ALIGNED
RA-08,Klasifikasi data,"Meteorological forcing adalah real/raw; soil-water state dan trajectory adalah simulasi; input forecast final adalah controlled synthetic forecast proxy SF20.",RM1|RM2|RM3|RM4,8A|8C,scope_and_data_classification.md|raw_episode_dry.csv|raw_episode_wet.csv|raw_episode_mixed.csv,ALIGNED
RA-09,Optimasi versus efisiensi,"Optimasi adalah proses belajar/memilih policy terhadap reward multi-objective; efisiensi adalah outcome fisik yang diukur dengan water, Time in Target, dan metrik terkait.",RM1|RM2|RM4,8A|8B|8H,scope_and_data_classification.md|reward_pareto.csv|main_10seed_results_2025.csv,ALIGNED
RA-10,Fair comparison hierarchy,"Hierarki dikunci: validasi simulator; non-RL references; DDPG-TD3-SAC fair benchmark; SAC-family 2x2; final SACSI comparison.",RM1|RM2|RM3|RM4,8C|8F|8G|8H,scope_and_data_classification.md|fairness_audit.json,ALIGNED
RA-11,Field-validation guard,"Project mengevaluasi controller secara retrospektif dalam Virtual Garden; belum ada deployment atau field validation eksternal.",RM1|RM2|RM3|RM4,8A|9B|9C,scope_and_data_classification.md|claim_to_evidence_matrix.csv,ALIGNED
RA-12,Negative/null result policy,"Context activation, performance benefit, dan statistical superiority adalah klaim terpisah; hasil nol atau negatif wajib dipertahankan.",RM3|RM4,8G|8H|9B|9C,hypothesis_map.csv|final_statistics_summary.json,ALIGNED
