claim_id,claim_level,claim_topic,evidence_files,release_status,released_wording,prohibited_wording,readiness_status
C01,Framework validity,Virtual Garden numerical consistency,Results/Simple_Case_Validation/simple_case_results.csv|Results/Simple_Case_Validation/raw_episode_summary.csv,RELEASED,The simulator passed the locked numerical and physical-response gates.,Field validation,READY
C02,Framework validity,Reward selection validity,Results/Reward_Validation/reward_confirmation_decision.json,RELEASED,reward_v4 was selected on validation 2024 by the pre-specified Pareto/stability rule.,Selection based on 2025,READY
C03,Framework validity,Fair DDPG–TD3–SAC protocol,Results/Fair_DRL/fairness_audit.json,RELEASED,"The three algorithms used the locked common environment, split, reward, interaction budget, seeds, and checkpoint rule.",Mechanisms were made identical,READY
C04,Context activation,History and forecast branches were exercised,Results/POMDP_Ablation/context_intervention_results.csv|Results/POMDP_Ablation/pomdp_ablation_manifest.json,RELEASED_WITH_GUARD,Context diagnostics show branch activation under the exploratory protocol.,Activation proves benefit,READY
C05,Performance benefit,Standalone forecast benefit,Results/Confirmatory_10Seed/factorial_inference.csv,NOT_RELEASED,The forecast main effect was not supported.,Forecast improves performance,READY
C06,Performance benefit,Memory benefit,Results/Confirmatory_10Seed/factorial_inference.csv,RELEASED_WITH_GUARD,The memory main effect was supported for the locked warm-start pipelines.,Universal memory benefit,READY
C07,Statistical superiority,Forecast-memory interaction,Results/Confirmatory_10Seed/factorial_inference.csv,NOT_RELEASED,The forecast-by-memory interaction was not supported.,Synergy is proven,READY
C08,Statistical superiority,"SACSI versus SAC, TD3, and DDPG",Results/Confirmatory_10Seed/main_10seed_results_2025.csv|Results/Confirmatory_10Seed/planned_contrasts.csv,RELEASED_WITH_GUARD,The locked SACSI pipeline achieved higher matched-seed Time in Target in the retrospective 2025 simulation benchmark.,Universal equal-budget architecture superiority,READY
C09,Performance benefit,Forecast robustness,Results/POMDP_Ablation/forecast_robustness.csv,DESCRIPTIVE_ONLY,SF10–SF30 results are exploratory robustness diagnostics.,Statistical robustness superiority,READY
C10,Framework validity,"Meteorology, soil, and forecast classification",Docs/Reviewer_Alignment/scope_and_data_classification.md,RELEASED,"Meteorology is raw/real, soil state is simulated, and forecast input is a controlled synthetic proxy.",All inputs are field measurements,READY
C11,Framework validity,IoT role,Docs/Reviewer_Alignment/scope_and_data_classification.md,CONTEXT_ONLY,IoT is an implementation and sensing context.,IoT field deployment was validated,READY
C12,Framework validity,Energy outcome,Docs/Reviewer_Alignment/scope_and_data_classification.md,NOT_REPORTED,No energy metric is reported because no pump-power model is available.,Energy savings,READY
C13,Framework validity,Field effectiveness,Docs/Reviewer_Alignment/scope_and_data_classification.md,NOT_RELEASED,Evidence is limited to the locked Virtual Garden simulation.,Real-world field effectiveness,READY
