target_section,section_title,action,source_files,required_wording,readiness_status
5.1,Data Audit & Provenance,INSERT,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Fair_DRL/fairness_audit.json|Results/Confirmatory_10Seed/final_statistics_summary.json,"Separate raw meteorology, simulated soil state, and controlled synthetic forecast proxy.",READY
5.2,Virtual Garden Validation,INSERT,Docs/Reviewer_Alignment/research_question_objective_map.csv|Results/Simple_Case_Validation/simple_case_results.csv|Results/Simple_Case_Validation/raw_episode_summary.csv,Report numerical and physical-response gates; do not call this field validation.,READY
5.3,Reward Validation,INSERT,Results/Reward_Validation/reward_confirmation_decision.json,Report validation-2024 selection and the locked reward trade-off.,READY
5.4,Simple-Case & Raw-Data Validation,INSERT,Results/Simple_Case_Validation/simple_case_results.csv|Results/Simple_Case_Validation/raw_episode_summary.csv,Distinguish raw meteorological forcing from simulated soil response.,READY
5.5,Fair DDPG–TD3–SAC Benchmark,INSERT,Results/Fair_DRL/fairness_audit.json|Results/Fair_DRL/fair_drl_results_2025.csv,Treat the three-seed results as descriptive development evidence.,READY
5.6,Incremental POMDP Contribution,INSERT,Results/POMDP_Ablation/pomdp_ablation_manifest.json|Results/POMDP_Ablation/context_intervention_results.csv,"Separate activation, benefit, and superiority.",READY
5.7,10-Seed Confirmatory Benchmark,INSERT,Results/Confirmatory_10Seed/main_10seed_results_2025.csv|Results/Confirmatory_10Seed/friedman_results.csv|Results/Confirmatory_10Seed/planned_contrasts.csv|Results/Confirmatory_10Seed/final_statistics_summary.json,Limit superiority wording to locked pipelines and retrospective simulation.,READY
5.8,Robustness & Diagnostics,INSERT,Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv|Results/Confirmatory_10Seed/factorial_inference.csv|Results/POMDP_Ablation/forecast_robustness.csv|Results/POMDP_Ablation/sequence_sensitivity.csv,Retain null forecast and interaction findings.,READY
5.9,Answers to RM1–RM4,INSERT,Results/Dissertation_Evidence/hypothesis_decision_table.csv,Use the exact decision and claim guard for each hypothesis.,READY
6.1,Reward trade-off,INSERT,Results/Reward_Validation/reward_confirmation_decision.json,Do not rank by cumulative reward alone.,READY
6.2,DDPG versus TD3 versus SAC,INSERT,Results/Fair_DRL/fair_drl_results_2025.csv|Results/Confirmatory_10Seed/main_10seed_results_2025.csv,Discuss stability and target occupancy together with water use.,READY
6.3,Partial observability,INSERT,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/POMDP_Ablation/context_intervention_results.csv,POMDP rationale is not itself performance evidence.,READY
6.4,Forecast contribution,INSERT,Results/Confirmatory_10Seed/factorial_inference.csv|Results/POMDP_Ablation/forecast_robustness.csv,State that standalone forecast benefit was not supported.,READY
6.5,Memory contribution,INSERT,Results/Confirmatory_10Seed/factorial_inference.csv,Limit support to the locked pipeline and simulation scope.,READY
6.6,SACSI integration,INSERT,Results/Confirmatory_10Seed/main_10seed_results_2025.csv|Results/Confirmatory_10Seed/planned_contrasts.csv|Results/Confirmatory_10Seed/final_statistics_summary.json,Include the unequal effective interaction-budget limitation.,READY
6.7,Precision-farming implication,INSERT,Docs/Reviewer_Alignment/scope_and_data_classification.md,"Frame as potential application, not validated deployment.",READY
6.8,Limitations,INSERT,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Confirmatory_10Seed/final_statistics_summary.json,"Explicitly list synthetic forecast, simulated soil, single setting, and budget limitation.",READY
6.9,Future work,INSERT,Docs/Reviewer_Alignment/scope_and_data_classification.md,"Require field trials, archived as-issued forecasts, and equal-budget retraining before broader claims.",READY
