claim_id,claim_level,claim_topic,release_status,released_wording,prohibited_wording,hypothesis_id,reviewer_item_ids,defense_question_ids,evidence_files,evidence_sha256,readiness_status
C01,Framework validity,Virtual Garden numerical consistency,RELEASED,The simulator passed the locked numerical and physical-response gates.,Field validation,H1,RA-07,DQ-07,Results/Simple_Case_Validation/simple_case_results.csv|Results/Simple_Case_Validation/raw_episode_summary.csv,Results/Simple_Case_Validation/simple_case_results.csv=e92e0f718c7944550b59eccf4becd06546b88c5bada45d9a9001523aefda0633|Results/Simple_Case_Validation/raw_episode_summary.csv=601b0401f3647001f0d640f0b83b860f634177c5219e7c70820cdcb37b30ab28,READY
C02,Framework validity,Reward selection validity,RELEASED,reward_v4 was selected on validation 2024 by the pre-specified Pareto/stability rule.,Selection based on 2025,H1,RA-09,DQ-05,Results/Reward_Validation/reward_confirmation_decision.json,Results/Reward_Validation/reward_confirmation_decision.json=2262c87ebb8a9bb3bff4c094c6a4934e295ccb804b14364427dcf89bdbe649ef,READY
C03,Framework validity,Fair DDPG–TD3–SAC protocol,RELEASED,"The three algorithms used the locked common environment, split, reward, interaction budget, seeds, and checkpoint rule.",Mechanisms were made identical,H2,RA-05|RA-10,DQ-03|DQ-04,Results/Fair_DRL/fairness_audit.json,Results/Fair_DRL/fairness_audit.json=63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed,READY
C04,Context activation,History and forecast branches were exercised,RELEASED_WITH_GUARD,Context diagnostics show branch activation under the exploratory protocol.,Activation proves benefit,H3,RA-03|RA-06|RA-12,DQ-02|DQ-09,Results/POMDP_Ablation/context_intervention_results.csv|Results/POMDP_Ablation/pomdp_ablation_manifest.json,Results/POMDP_Ablation/context_intervention_results.csv=5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214|Results/POMDP_Ablation/pomdp_ablation_manifest.json=0f4f9484c8bee583bdd31880b2acbb11d33e3cb5b22ad7222a1003f08d0b3424,READY
C05,Performance benefit,Standalone forecast benefit,NOT_RELEASED,The forecast main effect was not supported.,Forecast improves performance,H3,RA-06|RA-12,DQ-10,Results/Confirmatory_10Seed/factorial_inference.csv,Results/Confirmatory_10Seed/factorial_inference.csv=428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,READY
C06,Performance benefit,Memory benefit,RELEASED_WITH_GUARD,The memory main effect was supported for the locked warm-start pipelines.,Universal memory benefit,H3,RA-06|RA-12,DQ-09,Results/Confirmatory_10Seed/factorial_inference.csv,Results/Confirmatory_10Seed/factorial_inference.csv=428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,READY
C07,Statistical superiority,Forecast-memory interaction,NOT_RELEASED,The forecast-by-memory interaction was not supported.,Synergy is proven,H3,RA-06|RA-12,DQ-10,Results/Confirmatory_10Seed/factorial_inference.csv,Results/Confirmatory_10Seed/factorial_inference.csv=428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,READY
C08,Statistical superiority,"SACSI versus SAC, TD3, and DDPG",RELEASED_WITH_GUARD,The locked SACSI pipeline achieved higher matched-seed Time in Target in the retrospective 2025 simulation benchmark.,Universal equal-budget architecture superiority,H4,RA-05|RA-10|RA-12,DQ-11|DQ-12|DQ-13,Results/Confirmatory_10Seed/main_10seed_results_2025.csv|Results/Confirmatory_10Seed/planned_contrasts.csv,Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41|Results/Confirmatory_10Seed/planned_contrasts.csv=a9335b111e07f6b05d42bdf7d0c1ce671ca6dafc03655cbe37a24fbc5414171c,READY
C09,Performance benefit,Forecast robustness,DESCRIPTIVE_ONLY,SF10–SF30 results are exploratory robustness diagnostics.,Statistical robustness superiority,H3,RA-06|RA-12,DQ-10,Results/POMDP_Ablation/forecast_robustness.csv,Results/POMDP_Ablation/forecast_robustness.csv=fe2016081a1ad5b5c727ca5c4077e7f9124c315b4fff5b82ef29d7c6455276e7,READY
C10,Framework validity,"Meteorology, soil, and forecast classification",RELEASED,"Meteorology is raw/real, soil state is simulated, and forecast input is a controlled synthetic proxy.",All inputs are field measurements,H1,RA-08,DQ-06,Docs/Reviewer_Alignment/scope_and_data_classification.md,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f,READY
C11,Framework validity,IoT role,CONTEXT_ONLY,IoT is an implementation and sensing context.,IoT field deployment was validated,N/A,RA-11,DQ-15,Docs/Reviewer_Alignment/scope_and_data_classification.md,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f,READY
C12,Framework validity,Energy outcome,NOT_REPORTED,No energy metric is reported because no pump-power model is available.,Energy savings,N/A,RA-09|RA-11,DQ-15,Docs/Reviewer_Alignment/scope_and_data_classification.md,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f,READY
C13,Framework validity,Field effectiveness,NOT_RELEASED,Evidence is limited to the locked Virtual Garden simulation.,Real-world field effectiveness,N/A,RA-11,DQ-15,Docs/Reviewer_Alignment/scope_and_data_classification.md,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f,READY
