reviewer_item_id,reviewer_comment,short_answer_30_60_sec,technical_answer,mathematical_support,evidence_source,evidence_sha256,dashboard_page,claim_status,claim_guard,readiness_status
RA-01,RM dan tujuan one-to-one,"Empat rumusan masalah dipetakan satu-ke-satu ke T1–T4. Setiap pasangan berakhir pada evidence dan decision rule yang berbeda, sehingga tujuan, eksperimen, dan kesimpulan dapat ditelusuri.",RM1/T1 mencakup Virtual Garden dan reward; RM2/T2 fair continuous-control benchmark; RM3/T3 kontribusi forecast-memory; RM4/T4 konfirmasi SACSI multi-seed. Tidak ada tujuan tambahan yang tidak memiliki rumusan masalah.,"RM_i ↔ T_i untuk i ∈ {1,2,3,4}.",Docs/Reviewer_Alignment/research_question_objective_map.csv,Docs/Reviewer_Alignment/research_question_objective_map.csv=8746a62d187bc48128aedf6ba32d6233047f6a779e9ff4ae64c104c191cf8179,Research Design,MAPPED,Pemetaan metodologis tidak otomatis berarti seluruh hipotesis diterima.,READY
RA-02,Tujuan terukur,"Setiap tujuan memiliki indikator primer, indikator sekunder, protokol, jumlah seed atau gate numerik, dan aturan keputusan. Karena itu keberhasilan tidak ditentukan secara subjektif setelah hasil terlihat.","Primary endpoint adalah Time in Target untuk perbandingan performa. Gate simulator memakai respons fisik dan residual neraca massa, sedangkan inferensi memakai matched seeds, multiplicity correction, effect size, dan confidence interval.",Decision_j = PASS hanya jika seluruh gate g_j(E) memenuhi ambang τ_j yang dipra-spesifikasikan.,Docs/Reviewer_Alignment/research_question_objective_map.csv,Docs/Reviewer_Alignment/research_question_objective_map.csv=8746a62d187bc48128aedf6ba32d6233047f6a779e9ff4ae64c104c191cf8179,Research Design,MAPPED,Outcome sekunder tidak boleh menggantikan primary endpoint setelah benchmark dibuka.,READY
RA-03,Argumentasi POMDP,"Masalah diperlakukan sebagai POMDP karena controller hanya menerima observation terbatas, bukan seluruh state dan proses laten tanah. History dan forecast dipakai sebagai context untuk memperkaya informasi keputusan.","State internal Virtual Garden berevolusi dengan forcing dan aksi, tetapi policy hanya melihat observation 8-D. LSTM merangkum history kausal dan forecast proxy memberi informasi h+1; activation, performance benefit, dan superiority diuji terpisah.","x_(t+1)=f(x_t,a_t,w_t), o_t=h(x_t,w_t), z_t=LSTM(o_(t-k:t)), c_t=[o_t,z_t,ŵ_(t+1)].",Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/POMDP_Ablation/context_intervention_results.csv,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/POMDP_Ablation/context_intervention_results.csv=5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214,POMDP Contribution,SUPPORTED_WITH_GUARD,Argumentasi POMDP dan branch activation bukan bukti otomatis peningkatan performa.,READY
RA-04,Argumentasi SAC,"SAC dipilih sebagai anchor stochastic off-policy untuk aksi kontinu. Twin critics, replay learning, dan entropy regularization memberi pembanding yang relevan sebelum context forecast dan memory ditambahkan.","Fairness mengunci environment, observation, reward, data split, seed, budget, dan checkpoint rule, tetapi mekanisme intrinsik SAC tetap dipertahankan. SAC Basic juga menjadi anchor warm-start untuk varian context.","J(π)=E[Σ_t γ^t(r_t+αH(π(·|s_t)))], dengan α dituning otomatis.",Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Fair_DRL/fairness_audit.json,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/Fair_DRL/fairness_audit.json=63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed,Fair DRL Benchmark,SUPPORTED,Pemilihan SAC secara teoritis tidak membuktikan bahwa SAC selalu terbaik.,READY
RA-05,Justifikasi DDPG dan TD3,"DDPG mewakili deterministic actor dengan single critic, sedangkan TD3 menguji twin critics, target smoothing, dan delayed policy update. Keduanya membentuk tangga pembanding sebelum SACSI.","DDPG dan TD3 memakai observation 8-D, aksi 0–5 mm/jam, reward_v4, split, matched seeds, 6,720 interactions, metric engine, dan validation-only checkpoint selection yang sama dengan SAC pada fair benchmark.","DDPG: ∇J≈E[∇_aQ(s,a)∇_θμ_θ(s)]; TD3 target memakai min(Q′_1,Q′_2) dengan target-action noise dan delayed update.",Results/DDPG/ddpg_validation_results.csv|Results/TD3/td3_validation_results.csv|Results/Confirmatory_10Seed/main_10seed_results_2025.csv,Results/DDPG/ddpg_validation_results.csv=0890c2d9e6af8a52af86523dabebce65813634fe4208d97e450682dae1b2f67b|Results/TD3/td3_validation_results.csv=94e0ff1ffaf467722e10912567bd4d36dc5afadddf41a42dd67a150f0943e309|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,Fair DRL Benchmark,SUPPORTED,"Fairness menyamakan protokol, bukan menghapus perbedaan mekanisme algoritma.",READY
RA-06,Justifikasi forecast dan LSTM,Forecast h+1 menguji anticipatory context dan LSTM 24 jam menguji temporal memory. Desain 2×2 memisahkan main effect dan interaction; hasil final hanya mendukung memory effect.,"Empat kondisi adalah F0M0, F1M0, F0M1, dan F1M1 pada matched seeds. Intervensi zero, shuffle, reverse, dan no-context memeriksa aktivitas branch; inferensi final memakai exact sign-flip dengan Holm correction.",E_F=½[(Y_10−Y_00)+(Y_11−Y_01)]; E_M=½[(Y_01−Y_00)+(Y_11−Y_10)]; E_F×M=(Y_11−Y_10)−(Y_01−Y_00).,Results/POMDP_Ablation/context_intervention_results.csv|Results/Confirmatory_10Seed/factorial_inference.csv,Results/POMDP_Ablation/context_intervention_results.csv=5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214|Results/Confirmatory_10Seed/factorial_inference.csv=428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,POMDP Contribution,PARTIALLY_SUPPORTED,Standalone forecast benefit dan forecast-memory synergy tidak didukung.,READY
RA-07,Virtual Garden dan scope,"Virtual Garden adalah simulator neraca air untuk hortikultura generik, bukan digital twin tanaman atau lokasi tertentu. Validasi menunjukkan konsistensi numerik dan respons kontrol yang diharapkan.","Enam simple cases menguji pengeringan, hujan, irigasi, batas atas, recovery, dan forecast response. Episode DRY/WET/MIXED mempertahankan konfigurasi yang sama serta mengaudit runoff, drainage, dan mass balance.","S_(t+1)=S_t+P_t+I_t−ET_t−R_t−D_t, dengan residual numerik diaudit terhadap gate 10⁻⁸ mm.",Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Simple_Case_Validation/simple_case_results.csv,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/Simple_Case_Validation/simple_case_results.csv=e92e0f718c7944550b59eccf4becd06546b88c5bada45d9a9001523aefda0633,Simple-Case & Raw-Data Validation,SUPPORTED_WITH_SCOPE_GUARD,Simulator validation tidak boleh disebut field validation atau crop digital twin validation.,READY
RA-08,Klasifikasi data,Meteorological forcing adalah data real/raw; soil moisture dan trajectory merupakan keluaran simulasi; forecast final adalah controlled synthetic forecast proxy SF-20. Ketiga kelas evidence selalu dibedakan.,"Weather observations memaksa Virtual Garden. State tanah dihitung dari water balance. Forecast h+1 precipitation, ET0, dan temperature dibuat secara kausal per tahun dengan perturbasi terkontrol, bukan archived as-issued forecast.","E = {M_raw, S_simulated, F_controlled-proxy}; ketiga himpunan tidak dipertukarkan dalam klaim.",Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Simple_Case_Validation/raw_episode_summary.csv,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/Simple_Case_Validation/raw_episode_summary.csv=601b0401f3647001f0d640f0b83b860f634177c5219e7c70820cdcb37b30ab28,Simple-Case & Raw-Data Validation,SUPPORTED_WITH_DATA_CLASSIFICATION,Jangan menyebut seluruh input sebagai field measurements atau operational forecast.,READY
RA-09,Optimasi versus efisiensi,"Optimasi adalah proses belajar policy terhadap reward multi-objective, sedangkan efisiensi adalah outcome fisik. Controller tidak disebut efisien hanya karena memakai sedikit air bila gagal mempertahankan target.","reward_v4 menimbang tracking deficit/surplus, irrigation, action change, dan violation. Pemilihan memakai Pareto Time in Target–water dan stability pada validation 2024; cumulative reward bukan ranking final.",L_t=100(2d_t+s_t)+0.01I_t+0.01|I_t−I_(t−1)|+2V_t; r_t=2−L_t.,Results/Reward_Validation/reward_pareto.csv|Results/Confirmatory_10Seed/main_10seed_results_2025.csv,Results/Reward_Validation/reward_pareto.csv=4478b9f740438232d476565518c93780d5da36455c9b82c5ba4782f09e2401ef|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,Reward Lab,SUPPORTED_WITH_TRADEOFF_GUARD,Low irrigation akibat under-irrigation bukan bukti efisiensi.,READY
RA-10,Fair comparison hierarchy,"Fair comparison disusun bertahap: simulator, controller referensi, DDPG–TD3–SAC, SAC-family 2×2, lalu SACSI confirmatory. Setiap tingkat menjawab pertanyaan berbeda.","Main comparators memakai total 6,720 interactions. Context variants memakai SAC anchor 6,720 ditambah adaptation 6,720; karena itu hasil final membandingkan locked pipelines, bukan arsitektur dengan total budget identik.","Untuk DDPG/TD3/SAC: E,R,D,S,B,C identik; mekanisme A berbeda. Untuk context variants: B_effective=B_anchor+B_adaptation.",Results/Fair_DRL/fairness_audit.json|Results/Confirmatory_10Seed/main_10seed_results_2025.csv|Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv,Results/Fair_DRL/fairness_audit.json=63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41|Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv=da4417232f55f0ac86bf152e0294e9d315512686641a604a7c78b29acdcee440,Fair DRL Benchmark,SUPPORTED_WITH_BUDGET_GUARD,Jangan mengklaim equal-total-budget architecture superiority.,READY
