question_id,required_topic,question,short_answer_30_60_sec,technical_answer,mathematical_support,evidence_source,evidence_sha256,claim_guard,readiness_status
DQ-01,mengapa SAC,Mengapa memilih SAC sebagai anchor?,SAC sesuai untuk aksi irigasi kontinu dan menyediakan stochastic off-policy learning dengan twin critics serta entropy regularization.,SAC dipertahankan mekanismenya dan dibandingkan di common environment; ia juga menjadi anchor warm-start bagi varian context.,J(π)=E[Σγ^t(r_t+αH_t)].,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Fair_DRL/fairness_audit.json,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/Fair_DRL/fairness_audit.json=63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed,Pemilihan SAC secara teoritis tidak membuktikan bahwa SAC selalu terbaik.,READY
DQ-02,mengapa POMDP,Mengapa masalah ini diformulasikan sebagai POMDP?,"Policy tidak melihat seluruh state dan proses laten tanah, sementara forcing masa depan tidak diketahui sempurna.","Current observation, history representation, dan forecast proxy membentuk context yang lebih informatif, tetapi manfaatnya tetap diuji empiris.","x_(t+1)=f(x_t,a_t,w_t); o_t=h(x_t,w_t).",Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/POMDP_Ablation/context_intervention_results.csv,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/POMDP_Ablation/context_intervention_results.csv=5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214,Argumentasi POMDP dan branch activation bukan bukti otomatis peningkatan performa.,READY
DQ-03,mengapa DDPG/TD3 sebagai comparator,Mengapa DDPG dan TD3 dipakai sebagai pembanding?,Keduanya adalah continuous-control baselines yang memisahkan deterministic single critic dari perbaikan twin critics dan delayed updates.,Tangga comparator memungkinkan perbandingan sebelum entropy SAC dan context POMDP diperkenalkan.,"TD3 target ∝ min(Q′_1,Q′_2).",Results/DDPG/ddpg_validation_results.csv|Results/TD3/td3_validation_results.csv|Results/Confirmatory_10Seed/main_10seed_results_2025.csv,Results/DDPG/ddpg_validation_results.csv=0890c2d9e6af8a52af86523dabebce65813634fe4208d97e450682dae1b2f67b|Results/TD3/td3_validation_results.csv=94e0ff1ffaf467722e10912567bd4d36dc5afadddf41a42dd67a150f0943e309|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,"Fairness menyamakan protokol, bukan menghapus perbedaan mekanisme algoritma.",READY
DQ-04,fairness benchmark,Apa yang membuat benchmark ini fair?,"Environment, observation, action, reward, split, matched seeds, interaction budget, metric engine, dan checkpoint selection dikunci.",Mekanisme intrinsik algoritma tidak disamakan secara artifisial; failed seeds juga tetap dipertahankan.,CommonConfigHash_DDPG=CommonConfigHash_TD3=CommonConfigHash_SAC.,Results/Fair_DRL/fairness_audit.json|Results/Confirmatory_10Seed/main_10seed_results_2025.csv|Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv,Results/Fair_DRL/fairness_audit.json=63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41|Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv=da4417232f55f0ac86bf152e0294e9d315512686641a604a7c78b29acdcee440,Jangan mengklaim equal-total-budget architecture superiority.,READY
DQ-05,reward multi-objective,Mengapa reward harus multi-objective?,"Irigasi harus menjaga kelembapan sambil membatasi air, violation, dan perubahan aktuator.","reward_v4 dipilih melalui ablation, sensitivity, Pareto trade-off, dan sepuluh-seed confirmation pada validation 2024.",r_t=2−[100(2d+s)+0.01I+0.01|ΔI|+2V].,Results/Reward_Validation/reward_pareto.csv|Results/Confirmatory_10Seed/main_10seed_results_2025.csv,Results/Reward_Validation/reward_pareto.csv=4478b9f740438232d476565518c93780d5da36455c9b82c5ba4782f09e2401ef|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,Low irrigation akibat under-irrigation bukan bukti efisiensi.,READY
DQ-06,raw vs simulated vs synthetic data,Data mana yang nyata dan mana yang simulasi?,"Meteorologi adalah real/raw, soil state adalah simulated, dan forecast controller adalah controlled synthetic proxy.","Pemisahan ini berlaku pada seluruh tabel, dashboard, dan narasi disertasi.","E={M_raw,S_sim,F_proxy}.",Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Simple_Case_Validation/raw_episode_summary.csv,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/Simple_Case_Validation/raw_episode_summary.csv=601b0401f3647001f0d640f0b83b860f634177c5219e7c70820cdcb37b30ab28,Jangan menyebut seluruh input sebagai field measurements atau operational forecast.,READY
DQ-07,virtual-garden scope,Apakah Virtual Garden merupakan digital twin?,Tidak. Virtual Garden adalah simulator neraca air hortikultura generik untuk eksperimen terkontrol.,"Ia lulus gate numerik dan simple-case, tetapi belum dikalibrasi sebagai digital twin tanaman, tanah, atau lokasi tertentu.",|mass-balance residual|≤10⁻⁸ mm sebagai gate numerik.,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Simple_Case_Validation/simple_case_results.csv,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/Simple_Case_Validation/simple_case_results.csv=e92e0f718c7944550b59eccf4becd06546b88c5bada45d9a9001523aefda0633,Simulator validation tidak boleh disebut field validation atau crop digital twin validation.,READY
DQ-08,optimization vs efficiency,Apa beda optimasi dan efisiensi dalam penelitian ini?,Optimasi adalah proses belajar terhadap reward; efisiensi adalah outcome fisik yang membaca water bersama Time in Target dan violation.,"DDPG/TD3 pada beberapa seed memakai sedikit air karena under-irrigation, jadi water minimum saja menyesatkan.","Efficiency assessment ≠ min(I); gunakan Pareto(I, Time-in-Target).",Results/Reward_Validation/reward_pareto.csv|Results/Confirmatory_10Seed/main_10seed_results_2025.csv,Results/Reward_Validation/reward_pareto.csv=4478b9f740438232d476565518c93780d5da36455c9b82c5ba4782f09e2401ef|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,Low irrigation akibat under-irrigation bukan bukti efisiensi.,READY
DQ-09,partial observability,Bagaimana history membantu partial observability?,LSTM merangkum observation kausal agar policy memiliki representasi dinamika yang tidak tampak dari satu observation.,"Inferensi final mendukung memory main effect, tetapi generalisasi di luar locked pipeline belum diuji.",z_t=LSTM(o_(t−k:t)).,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/POMDP_Ablation/context_intervention_results.csv|Results/Confirmatory_10Seed/factorial_inference.csv,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/POMDP_Ablation/context_intervention_results.csv=5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214|Results/Confirmatory_10Seed/factorial_inference.csv=428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,Argumentasi POMDP dan branch activation bukan bukti otomatis peningkatan performa. | Standalone forecast benefit dan forecast-memory synergy tidak didukung.,READY
DQ-10,negative result interpretation,Bagaimana menafsirkan hasil forecast yang tidak signifikan?,"Standalone forecast proxy tidak terbukti meningkatkan primary endpoint pada desain final; itu adalah temuan ilmiah, bukan data yang dibuang.","Kemungkinan penyebab seperti proxy quality, horizon h+1, dan redundancy dengan current observation dibahas sebagai hipotesis future work, bukan kesimpulan kausal.",Forecast effect CI melintasi nol dan exact-Holm p≥0.05.,Results/POMDP_Ablation/context_intervention_results.csv|Results/Confirmatory_10Seed/factorial_inference.csv|Docs/Reviewer_Alignment/hypothesis_map.csv|Results/Confirmatory_10Seed/final_statistics_summary.json,Results/POMDP_Ablation/context_intervention_results.csv=5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214|Results/Confirmatory_10Seed/factorial_inference.csv=428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10|Docs/Reviewer_Alignment/hypothesis_map.csv=97986f2c65a7fc39337d6ee436a72ac0390cfaf1e5f526410be4d762ae8728a2|Results/Confirmatory_10Seed/final_statistics_summary.json=bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,Standalone forecast benefit dan forecast-memory synergy tidak didukung. | Null result bukan kegagalan teknis dan tidak boleh disembunyikan atau dibalik menjadi klaim positif.,READY
DQ-11,statistical evidence,Apa bukti statistik utama?,Empat pipeline berbeda pada Friedman omnibus dan ketiga SACSI planned contrasts positif serta lolos exact-Holm.,Effect size dan paired bootstrap CI dilaporkan; memory effect didukung sedangkan forecast dan interaction tidak.,Release jika Δ>0 ∧ p_Holm<0.05.,Docs/Reviewer_Alignment/hypothesis_map.csv|Results/Confirmatory_10Seed/final_statistics_summary.json,Docs/Reviewer_Alignment/hypothesis_map.csv=97986f2c65a7fc39337d6ee436a72ac0390cfaf1e5f526410be4d762ae8728a2|Results/Confirmatory_10Seed/final_statistics_summary.json=bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,Null result bukan kegagalan teknis dan tidak boleh disembunyikan atau dibalik menjadi klaim positif.,READY
DQ-12,SACSI superiority,Apakah SACSI terbukti superior?,"Locked SACSI pipeline memiliki Time in Target lebih tinggi daripada SAC, TD3, dan DDPG pada matched-seed retrospective simulation benchmark.","Klaim ini didukung planned exact sign-flip contrasts, tetapi tidak berarti keunggulan universal atau field effectiveness.",Δ_SAC=+0.902 pp; Δ_TD3=+13.168 pp; Δ_DDPG=+13.740 pp; semua exact-Holm p=0.046875.,Docs/Reviewer_Alignment/hypothesis_map.csv|Results/Confirmatory_10Seed/final_statistics_summary.json,Docs/Reviewer_Alignment/hypothesis_map.csv=97986f2c65a7fc39337d6ee436a72ac0390cfaf1e5f526410be4d762ae8728a2|Results/Confirmatory_10Seed/final_statistics_summary.json=bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,Null result bukan kegagalan teknis dan tidak boleh disembunyikan atau dibalik menjadi klaim positif.,READY
DQ-13,interaction-budget limitation,Apakah budget SACSI sama dengan model lain?,Tidak untuk effective total interactions. Context variants menggunakan SAC anchor lalu adaptation stage.,"Main comparators memakai 6,720 total interactions; context variants memakai anchor 6,720 ditambah adaptation 6,720. Karena itu klaim dibatasi pada pipeline.","B_context=6,720+6,720; B_non-context=6,720.",Results/Fair_DRL/fairness_audit.json|Results/Confirmatory_10Seed/main_10seed_results_2025.csv|Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv,Results/Fair_DRL/fairness_audit.json=63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed|Results/Confirmatory_10Seed/main_10seed_results_2025.csv=9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41|Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv=da4417232f55f0ac86bf152e0294e9d315512686641a604a7c78b29acdcee440,Jangan mengklaim equal-total-budget architecture superiority.,READY
DQ-14,matched seeds,Mengapa menggunakan sepuluh matched seeds?,Matched seeds mengurangi variasi antar-run ketika menghitung selisih policy pada kondisi yang sama.,"Semua failed validation seeds dipertahankan dan perbandingan memakai selisih within-seed, bukan mengganti seed yang buruk.","d_i=Y_(SACSI,i)−Y_(comparator,i), n=10.",Docs/Reviewer_Alignment/research_question_objective_map.csv|Docs/Reviewer_Alignment/hypothesis_map.csv|Results/Confirmatory_10Seed/final_statistics_summary.json,Docs/Reviewer_Alignment/research_question_objective_map.csv=8746a62d187bc48128aedf6ba32d6233047f6a779e9ff4ae64c104c191cf8179|Docs/Reviewer_Alignment/hypothesis_map.csv=97986f2c65a7fc39337d6ee436a72ac0390cfaf1e5f526410be4d762ae8728a2|Results/Confirmatory_10Seed/final_statistics_summary.json=bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,Outcome sekunder tidak boleh menggantikan primary endpoint setelah benchmark dibuka. | Null result bukan kegagalan teknis dan tidak boleh disembunyikan atau dibalik menjadi klaim positif.,READY
DQ-15,deployment readiness,Apakah sistem siap dipasang di kebun?,"Belum. Hasil menunjukkan simulation evidence, bukan deployment readiness.","Masih diperlukan sensor/actuator integration, calibration, fail-safe control, archived forecasts, hardware-in-the-loop, dan field trials.",E_field=∅ ⇒ claim_deployment=NOT_RELEASED.,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/Confirmatory_10Seed/final_statistics_summary.json,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/Confirmatory_10Seed/final_statistics_summary.json=bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,"External field effectiveness, yield gain, deployment readiness, dan energy savings tidak boleh diklaim.",READY
DQ-16,novelty,Apa novelty utama jika forecast effect tidak signifikan?,"Novelty utama adalah kerangka evaluasi modular SACSI-POMDP yang mengintegrasikan current state, memory, forecast context, validated simulator, controlled ablation, dan multi-seed inference.",Novelty integrasi dan metodologi tidak bergantung pada semua komponen harus menghasilkan efek positif; null forecast result justru memperjelas kontribusi memory.,Novelty framework ≠ claim bahwa setiap component effect >0.,Docs/Reviewer_Alignment/scope_and_data_classification.md|Results/POMDP_Ablation/context_intervention_results.csv|Results/Confirmatory_10Seed/factorial_inference.csv|Docs/Reviewer_Alignment/hypothesis_map.csv|Results/Confirmatory_10Seed/final_statistics_summary.json,Docs/Reviewer_Alignment/scope_and_data_classification.md=6b1790df4320952a1e588c6d0fe6a58f47c5e1f104fda395c4c1b993bc55388f|Results/POMDP_Ablation/context_intervention_results.csv=5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214|Results/Confirmatory_10Seed/factorial_inference.csv=428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10|Docs/Reviewer_Alignment/hypothesis_map.csv=97986f2c65a7fc39337d6ee436a72ac0390cfaf1e5f526410be4d762ae8728a2|Results/Confirmatory_10Seed/final_statistics_summary.json=bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,Argumentasi POMDP dan branch activation bukan bukti otomatis peningkatan performa. | Standalone forecast benefit dan forecast-memory synergy tidak didukung. | Null result bukan kegagalan teknis dan tidak boleh disembunyikan atau dibalik menjadi klaim positif.,READY
